pair_prefix,wav_original,wav_treinado,wav_referencia,f0_rmse_hz_original_vs_ref,f0_rmse_hz_treinado_vs_ref,f0_rmse_hz_vs_base,failure_reason
sentenca_30,checkpoint-10000/inference_batch_20260428_120204/sentenca_30_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_30_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_30_referencia.wav,136.6956618942988,124.91438142625184,52.546515736897355,
sentenca_31,checkpoint-10000/inference_batch_20260428_120204/sentenca_31_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_31_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_31_referencia.wav,159.62348056013914,163.8979720765133,57.82389556288858,
sentenca_32,checkpoint-10000/inference_batch_20260428_120204/sentenca_32_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_32_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_32_referencia.wav,113.93912654185515,112.43555948137828,35.91732067317535,
sentenca_33,checkpoint-10000/inference_batch_20260428_120204/sentenca_33_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_33_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_33_referencia.wav,155.49056690288623,143.58337580286394,86.91125122612674,
sentenca_34,checkpoint-10000/inference_batch_20260428_120204/sentenca_34_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_34_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_34_referencia.wav,112.8904608060572,119.39151025276693,54.65749999012183,
sentenca_35,checkpoint-10000/inference_batch_20260428_120204/sentenca_35_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_35_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_35_referencia.wav,148.24115437922728,137.7030411399407,43.07323689559632,
sentenca_36,checkpoint-10000/inference_batch_20260428_120204/sentenca_36_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_36_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_36_referencia.wav,163.22128430263777,165.78515736021168,45.861266501998486,
sentenca_37,checkpoint-10000/inference_batch_20260428_120204/sentenca_37_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_37_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_37_referencia.wav,140.85646638238563,123.04784181072547,77.76544044698643,
sentenca_38,checkpoint-10000/inference_batch_20260428_120204/sentenca_38_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_38_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_38_referencia.wav,152.19074791080487,171.19638649076919,54.33072328285647,
sentenca_39,checkpoint-10000/inference_batch_20260428_120204/sentenca_39_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_39_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_39_referencia.wav,187.53684476766128,175.8993062390046,68.2882428353595,
sentenca_3,checkpoint-10000/inference_batch_20260428_120204/sentenca_3_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_3_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_3_referencia.wav,189.48596330069267,178.99300311467047,59.45261316140417,
sentenca_40,checkpoint-10000/inference_batch_20260428_120204/sentenca_40_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_40_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_40_referencia.wav,138.23437257848548,138.0519563940081,53.96269128012526,
sentenca_41,checkpoint-10000/inference_batch_20260428_120204/sentenca_41_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_41_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_41_referencia.wav,154.6835717267494,170.28323653306,58.63337808714363,
sentenca_42,checkpoint-10000/inference_batch_20260428_120204/sentenca_42_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_42_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_42_referencia.wav,138.12508607870095,146.61966955053467,79.79035116321496,
sentenca_43,checkpoint-10000/inference_batch_20260428_120204/sentenca_43_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_43_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_43_referencia.wav,130.5885403069025,136.6641866886182,64.88164053621767,
sentenca_44,checkpoint-10000/inference_batch_20260428_120204/sentenca_44_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_44_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_44_referencia.wav,102.01370977838657,137.8467262693821,82.41275851189557,
sentenca_45,checkpoint-10000/inference_batch_20260428_120204/sentenca_45_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_45_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_45_referencia.wav,120.7928806988647,120.16751645203689,72.60505181598117,
sentenca_46,checkpoint-10000/inference_batch_20260428_120204/sentenca_46_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_46_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_46_referencia.wav,134.16980779142287,144.36268254691396,67.19118433639528,
sentenca_47,checkpoint-10000/inference_batch_20260428_120204/sentenca_47_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_47_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_47_referencia.wav,112.57915244502546,126.06785504474013,78.97870652317988,
sentenca_48,checkpoint-10000/inference_batch_20260428_120204/sentenca_48_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_48_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_48_referencia.wav,107.22048091520851,116.57496555920831,70.99603304504221,
sentenca_49,checkpoint-10000/inference_batch_20260428_120204/sentenca_49_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_49_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_49_referencia.wav,100.45995533773917,143.36804308300455,85.39823678740531,
sentenca_4,checkpoint-10000/inference_batch_20260428_120204/sentenca_4_original.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_4_treinado.wav,checkpoint-10000/inference_batch_20260428_120204/sentenca_4_referencia.wav,167.44139113781134,185.31910166020435,73.20683572366819,
